Trait,PValue_PBS,FWER_PBS,PValue_LRT,NSim,NExtreme,BootstrapTime,Effect,SE,TraitSD
rbc,0.010288653901114605,0.05144326950557303,0.00771468359756855,10496,107,48.989999999999995,-0.027432623939121086,0.00812861666037383,1.063028375992957
ch,6.856211531756013e-6,8.22733296310335e-5,1.3018562036171133e-6,1020971,6,4781.86,-0.0404894521241547,0.006925496780905491,0.9441773984030934
chcm,0.013908735829284558,0.05563494331713823,0.012922958082074665,10496,145,49.35699999999997,0.09646921048968383,0.04038348789551013,1.883597451897084
hdw,0.007621225111936743,0.04572735067162046,0.005795347028585196,10496,79,47.845000000000255,0.03669054923881276,0.007609906152261223,0.9290960679920426
mcv,6.856110802586125e-6,8.22733296310335e-5,2.6262384775765923e-6,1020986,6,4709.474,-0.30014851925138103,0.061841834375011624,4.054043787852909
rdw,0.004382204439363628,0.03943983995427265,0.0031839344140246473,10496,45,48.24200000000019,0.04927306735513597,0.010838577544392044,1.7766854227155053
hct,2.722141490563016e-7,4.083212235844524e-6,6.820700437781824e-8,11020734,2,52493.473,-0.46925027923748575,0.070329599829466,5.237044901535907
hgb,9.930581922170056e-7,1.390281469103808e-5,5.84656183466592e-8,3020970,2,13900.96,-0.06990651064052293,0.009139283633467811,1.458884386601209
wbc,0.8931123178050872,0.8931123178050872,0.8912766292738481,10496,9374,43.67699999999604,0.08314017297367318,0.04102924743123826,7.53432667080833
nlr,8.323127098728518e-8,1.4142140659228399e-6,0,12014714,0,57277.893999999986,0.02126686131761984,0.01120224009777114,2.083034620503517
n.lymph,0.005715918833952558,0.04572735067162046,0.004030167783961369,10496,59,44.63399999999092,-0.009334121281944743,0.031715584703810674,5.28684479631585
n.neut,8.318906270134352e-8,1.4142140659228399e-6,6.371569938323773e-12,12020810,0,54215.390000000014,0.06622284804025622,0.008419281195950494,1.8238651408139004
n.mono,1.4844459750731832e-6,1.9297797675951383e-5,1.0293791030679955e-7,2020955,2,8588.32699999999,0.010380615848705067,0.0015991527618999326,0.27415451318000394
n.eos,0.2099647518338573,0.4199295036677146,0.19371578509267517,10496,2203,46.389999999984866,0.0034413073645164992,0.0015539765740660704,0.26017604805570915
plt,1.7629930136504632e-5,1.7629930136504632e-4,7.3512896581195974e-6,1020990,17,5158.815000000002,13.530885586204445,2.3295382258390873,451.86614712030274
mpv,0.006382776031247023,0.04572735067162046,0.0061359076414359,10496,66,53.78599999999278,-0.06376349554488829,0.02415205332144146,1.138155309723463
mpm,0.02448318567209679,0.07344955701629037,0.02074382987905854,10496,256,51.470000000001164,-0.0014624974880917397,0.0010938162589656643,0.09464977979758095
