Trait,PValue_PBS,FWER_PBS,PValue_LRT,NSim,NExtreme,BootstrapTime,FemaleEffect,FemaleSE,MaleEffect,MaleSE,TraitSD
rbc,0.03553396208440507,0.35057635514909025,0.03586161862267567,10496,372,46.696,-0.03523918878940253,0.009227966725248839,-0.019579094029210632,0.0092471904919899,1.063028375992957
ch,8.318805233227271e-8,1.4141968896486362e-6,6.717626455099435e-11,12020956,0,62673.722,-0.023714625286573147,0.007287852625265094,-0.05750375307873805,0.007300100445646442,0.9441773984030934
chcm,0.33561970086691434,1,0.3365776760928142,10496,3522,49.55500000000029,0.08931867546988705,0.04054598682717411,0.10363566193408011,0.04054690529221026,1.883597451897084
hdw,0.3765837858435744,1,0.37546105583081435,10496,3952,47.48199999999633,0.03522043920366546,0.008623574379854417,0.03816979294620328,0.008638700476773864,0.9290960679920426
mcv,8.318835682447748e-8,1.4141968896486362e-6,4.3787196091216174e-13,12020912,0,56205.005999999994,-0.23240567235942577,0.06274193346974022,-0.3685590626750292,0.06276417031998695,4.054043787852909
rdw,0.0963132323521006,0.7705058588168048,0.09568120951891979,10496,1010,48.146999999997206,0.057397542260977104,0.01305499522379661,0.04111208349870347,0.01308551088222691,1.7766854227155053
hct,0.0015242450223873487,0.019815185291035535,0.0017993442434478535,10496,15,47.620999999999185,-0.42769363873462757,0.07242283552718559,-0.5112919942683175,0.07246421374295157,5.237044901535907
hgb,0.03505763551490902,0.35057635514909025,0.03523017395361949,10496,367,47.80599999999686,-0.0596084619424217,0.01090957689517046,-0.08028751798112156,0.010934190988403522,1.458884386601209
wbc,0.3577212536915309,1,0.35669223479544965,10496,3754,46.46600000000035,0.15112416341344237,0.05629474506199078,0.015231486608295397,0.056285252942579,7.53432667080833
nlr,0.009240735448223302,0.10164808993045632,0.008089742530407729,10496,96,42.197000000000116,0.017007631768005835,0.015846273266931176,0.025515470943241768,0.015833647418914576,2.083034620503517
n.lymph,0.5964561303229494,1,0.5926493675473368,10496,6260,43.87299999999232,0.03645007810601685,0.04128226924837288,-0.05541948233796728,0.041373076162901576,5.28684479631585
n.neut,0.001619510336286558,0.019815185291035535,0.0020590311729664634,10496,16,47.771000000007916,0.07985805462099366,0.011879443680647552,0.05256482328041948,0.011898813315956163,1.8238651408139004
n.mono,0.36029341716680957,1,0.36045812716655323,10496,3781,45.29200000000128,0.011832474933388421,0.002117277950820027,0.00892587521695971,0.0021201638077452084,0.27415451318000394
n.eos,0.5315804515575879,1,0.5142504538830017,10496,5579,43.48500000000058,0.003466410010891721,0.0018155870677879198,0.003416251002945922,0.0018147709231822477,0.26017604805570915
plt,8.31881630564529e-8,1.4141968896486362e-6,2.617485117539786e-10,12020940,0,54353.66500000001,2.7547037911721137,2.8079656526958114,24.20684563741667,2.804008918194051,451.86614712030274
mpv,0.5264361246070306,1,0.5245504447425735,10496,5525,52.81400000001304,-0.06288954527632681,0.024271366924254533,-0.06463446507121287,0.02426932409312277,1.138155309723463
mpm,2.857959416976279e-4,0.00400114318376679,9.154082758855431e-5,10496,2,51.771000000007916,-5.854954787992228e-4,0.0011383461735182724,-0.0023377733021187294,0.0011383374646532732,0.09464977979758095
