Trait,PValue_PBS,FWER_PBS,PValue_LRT,Timepoint,NSim,NExtreme,BootstrapTime,Effect,SE,TraitSD,TraitTransform
rbc,0.685555797259082,1,0.6640592188245011,7 Months,9193,6302,13.303999999999998,0.5239060195113578,0.46912253111804275,0.7651064605309327,none
ch,0.29827569781842433,1,0.2985798959579824,7 Months,10496,3130,11.773999999999997,0.546189495709859,0.4665586878524085,0.7669600697681033,none
chcm,0.4460321996760979,1,0.43994721104271484,7 Months,10496,4681,12.283000000000005,0.2464731853703347,0.4186186769815995,0.8735137331506871,none
hdw,1.663756202483123e-7,2.828385544221309e-6,3.2641523217691315e-7,7 Months,12020991,1,12431.781,-27.11805734889632,4.832596992316585,0.07313239748967616,log
mcv,0.43364770886920073,1,0.4296930961579507,7 Months,10496,4551,11.635000000000218,7.3070258545746505,7.190133213507683,0.050312891161702226,log
rdw,2.154767128439792e-5,3.447627405503667e-4,2.157821095161161e-5,7 Months,1020991,21,1052.9050000000007,-18.01588821541011,3.896967232027685,0.09040477234813238,log
hct,0.1384205010955511,1,0.13380545893189955,7 Months,10496,1452,11.537000000000262,0.24491767548704887,0.11757105294428007,3.036867158029285,none
hgb,0.0441078403353339,0.4851862436886729,0.04004967179047003,7 Months,10496,462,11.471999999999753,0.88048256436237,0.3419695187572187,1.0470854504867508,none
wbc,0.6944841383252358,1,0.6936831305323714,7 Months,10496,7289,11.656000000000859,0.4709841522024782,0.9764816045530132,0.37002725816116505,log
nlr,6.668571972944651e-4,0.010002857959416977,8.723999080901823e-4,7 Months,10496,6,11.270999999998821,-2.2141675898088677,0.5724312002734226,0.6394938658164769,log
n.lymph,0.05563494331713823,0.5563494331713823,0.05379134087648774,7 Months,10496,583,11.47899999999936,1.8708625852909042,0.8788288239549892,0.40620430588358,log
n.neut,0.034581308945412975,0.426026483757264,0.03325250180285588,7 Months,10496,362,12.259000000000015,-1.8153411181758785,0.6737780040121647,0.5567446521513318,log
n.mono,0.06201771934838525,0.5581594741354673,0.06392706961433314,7 Months,10496,650,11.546000000000276,-1.1879981403509412,0.6587621902112303,0.5600057903400179,log
n.eos,0.4394588930170525,1,0.44064619340480604,7 Months,10496,4612,11.385000000000218,0.4856616408816711,0.5913585845646789,0.6058577197128756,log
plt,0.032771267981328,0.426026483757264,0.031033238810115327,7 Months,10496,343,11.310999999999694,-0.002935112390328934,0.0011119353004955769,334.3103442841241,none
mpv,0.3618176621891969,1,0.36356385009264225,7 Months,10496,3797,11.139999999999418,-0.8137469006070154,0.81213699875863,0.4729142783278327,none
mpm,0.016957225874059255,0.23740116223682955,0.017775560914445432,7 Months,10496,177,11.210000000000946,-20.93569165226719,7.6152840397206125,0.047230202158981806,log
rbc,0.07651262505955217,0.7651262505955216,0.07299504958087866,13 Months,10494,802,11.292999999999665,1.0100424034999198,0.3727613025658931,0.9117084839194177,none
ch,0.9176907687910831,1,0.8890034132330069,13 Months,10496,9632,11.50799999999981,0.20159466960997716,0.38584013702055503,0.8900443071890493,none
chcm,0.20520148613889683,1,0.15506773153334819,13 Months,10496,2153,11.260000000000218,0.5870455213649971,0.3472066377253104,0.9864306155535596,none
hdw,8.318782396458195e-8,1.4141930073978932e-6,3.198392883874135e-9,13 Months,12020989,0,11897.262,-17.581996609987254,3.282986924471662,0.10261199363870034,log
mcv,0.7600266742878917,1,0.69435406943758,13 Months,10496,7977,11.871999999999389,-1.442286164344452,5.678329188973582,0.06027454554932762,log
rdw,5.876631867211626e-6,9.402610987538602e-5,1.0893386765964408e-6,13 Months,1020992,5,1039.9249999999993,-17.894303663756066,3.2929409066976576,0.10196996267304767,log
hct,0.005621189024390244,0.06183307926829268,0.003592835370192282,13 Months,10495,58,11.878000000000611,0.40125382618677047,0.10575713004655803,3.2020269688323153,none
hgb,0.0015242450223873487,0.019815185291035535,8.569881015534353e-4,13 Months,10496,15,11.173999999999069,1.1538205986409722,0.27661081014297717,1.2278437632157713,none
wbc,0.649518910164809,1,0.5717756314375271,13 Months,10496,6817,11.291999999997643,-0.5928573501976679,0.7980063374265173,0.43086750736455975,log
nlr,0.0013337143945889303,0.018672001524245023,9.663570624723894e-4,13 Months,10496,13,11.08900000000358,-1.5962300672724723,0.4790789058412269,0.7134128000047145,log
n.lymph,0.36115080499190244,1,0.29031532666465754,13 Months,10496,3790,11.334999999999127,0.6515494095448587,0.657996971522838,0.5196547638058814,log
n.neut,0.0030484900447746975,0.03658188053729637,0.0021893243223459757,13 Months,10496,31,11.39799999999741,-2.1082406243087264,0.6276921854201971,0.552156379588623,log
n.mono,0.20977422120605888,1,0.16311538607786047,13 Months,10496,2201,11.27100000000064,-0.8304950238762249,0.6107988545577413,0.5729681603228277,log
