Trait,Timepoint,PValue_LRT,PValue_PBS,NSim,NExtreme,BootstrapTime,Effect,SE,TraitSD
rbc,13 Months,0.07299504958087866,0.07651262505955217,10494,802,11.292999999999665,0.12036578665858141,0.04442160771047745,0.9117084839194177
ch,13 Months,0.8890034132330069,0.9176907687910831,10496,9632,11.50799999999981,0.0234529850732284,0.04488761033068321,0.8900443071890493
chcm,13 Months,0.15506773153334819,0.20520148613889683,10496,2153,11.260000000000218,0.07569126747496184,0.044767415010749524,0.9864306155535596
hdw,13 Months,3.198392883874135e-9,8.318782396458195e-8,12020989,0,11897.262,-0.196739510105181,0.04428878700239041,0.8207178229459845
mcv,13 Months,0.69435406943758,0.7600266742878917,10496,7977,11.871999999999389,-0.022299360882289634,0.044733394704712826,2.721079458481639
rdw,13 Months,1.0893386765964408e-6,5.876631867211626e-6,1020992,5,1039.9249999999993,-0.23210164609952688,0.043894780512093834,1.5164526983569027
hct,13 Months,0.003592835370192282,0.005621189024390244,10495,58,11.878000000000611,0.1679390251256764,0.044263127628947,3.2020269688323153
hgb,13 Months,8.569881015534353e-4,0.0015242450223873487,10496,15,11.173999999999069,0.18517777104479383,0.04439353338768887,1.2278437632157713
wbc,13 Months,0.5717756314375271,0.649518910164809,10496,6817,11.291999999997643,-0.09525407333069334,0.04449986256667786,6.046844359930949
nlr,13 Months,9.663570624723894e-4,0.0013337143945889303,10496,13,11.08900000000358,-0.001620185011218563,0.04473898399776188,3.343482345591849
n.lymph,13 Months,0.29031532666465754,0.36115080499190244,10496,3790,11.334999999999127,-0.04418933657843396,0.044657444325330406,4.426629298183038
n.neut,13 Months,0.0021893243223459757,0.0030484900447746975,10496,31,11.39799999999741,-0.14774086572111508,0.04440839160064811,1.3533987389916626
n.mono,13 Months,0.16311538607786047,0.20977422120605888,10496,2201,11.27100000000064,-0.0725831848466658,0.0455645184682494,0.13878400330699517
n.eos,13 Months,0.0014816659725985781,0.11003143755358674,10496,1154,11.14600000000064,0.07415415468356691,0.044952096291250354,0.3184691905703699
plt,13 Months,0.20130357502959006,0.20266793711291092,10494,2126,11.039999999997235,-0.0686406638976389,0.04928828806897288,430.63260858626194
mpv,13 Months,0.8823995018042533,0.9136896256073164,10496,9590,11.192999999999302,-0.00502652754272197,0.04800017592547291,0.6510586912116795
mpm,13 Months,4.367101901625592e-4,3.810612555968372e-4,10496,3,11.151999999998225,-0.18009251176892815,0.04397611260029076,0.085130417703472
