Trait,PValue_PBS,FWER_PBS,PValue_LRT,NSim,NExtreme,BootstrapTime,Effect,SE,TraitSD
rbc,0.3069231501761737,0.9207694505285211,0.2965945019378484,10500,3222,28.290000000000003,-0.051678629468121004,0.07166682141079833,1.063028375992957
ch,0.016950766593657747,0.11865536615560424,0.016911021200131993,10500,177,27.874000000000002,-0.16712709282992802,0.0709677830620813,0.9441773984030934
chcm,0.0014284353871059899,0.012855918483953909,8.37308416155258e-4,10500,14,26.323000000000008,-0.2609193043894941,0.0817507977639951,1.883597451897084
hdw,5.876591576885407e-6,7.051909892262487e-5,4.711162757686793e-6,1020999,5,2417.752,-0.16082072649560783,0.058233492254055455,0.9290960679920426
mcv,0.5597562136939339,0.9207694505285211,0.55357242493801,10500,5877,26.830000000000382,-0.09628387804186465,0.21903883164138507,4.054043787852909
rdw,5.71374154842396e-4,0.00571374154842396,1.4056011156382553e-4,10500,5,26.438000000000102,-0.3169675259485463,0.12147496435381194,1.7766854227155053
hct,0.054090086658413486,0.2822588324921436,0.053331695551629865,10500,567,26.78500000000031,-0.34828755019387386,0.2689867001892323,5.237044901535907
hgb,2.85687077421198e-4,0.003142557851633178,8.63636684307334e-5,10500,2,26.47699999999986,-0.33205159389793876,0.09678903447034386,1.458884386601209
wbc,0.004380535187125036,0.035044281497000285,0.0038458378788966963,10500,45,23.7199999999998,-0.03998731334588493,0.43530842393152636,7.53432667080833
nlr,1.6637653372127906e-7,2.162894938376628e-6,1.3949173927052527e-8,12020925,1,25574.767,0.19126088139254768,0.10896699364491567,2.083034620503517
n.lymph,0.3106370821826493,0.9207694505285211,0.31031264210068243,10500,3261,25.06499999999869,-0.29737437927595034,0.3149987473447479,5.28684479631585
n.neut,8.318809385380574e-8,1.4141950073425837e-6,6.605826996519681e-14,12020950,0,28874.04,0.30757787524743646,0.11405401110381592,1.8238651408139004
n.mono,8.318852983240506e-8,1.4141950073425837e-6,1.1141170208617268e-9,12020887,0,25886.238000000005,0.03685243575539146,0.015174221719882756,0.27415451318000394
n.eos,0.0470431387486906,0.2822588324921436,0.04384869860843876,10500,493,24.039000000004307,0.024628284809473454,0.016080981162241086,0.26017604805570915
plt,8.318856443407693e-8,1.4141950073425837e-6,0,12020882,0,29007.017999999996,315.7286156738628,28.905630402486825,451.86614712030274
mpv,8.318794160838728e-8,1.4141950073425837e-6,0,12020972,0,33181.306,0.35461853624186696,0.0373484518416996,1.138155309723463
mpm,0.1077992572135987,0.4311970288543948,0.1020532705467111,10500,1131,28.248999999981606,0.004200109591331264,0.006395988039708138,0.09464977979758095
